pname,pos,team,age,gp,w,l,min,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,pf,fp,dd2,td3,+/-
Jayson Tatum,SF,BOS,-0.22723680852957387,1.0491324603940702,1.9312301892115604,-0.16832542670439102,1.963967928317252,3.4114250496727623,2.9971325900937633,3.1232603502171807,-0.015827811991858703,3.0074109364364423,3.2851296569780035,0.2365830853162122,4.219516621350974,3.958216736500493,0.6309221019645057,0.5744568301447638,3.05631513921265,2.473314255463804,1.7392727032867432,2.59687268830261,1.5716941338891308,1.1134426506680504,1.0318880697419017,2.965241193021768,3.0643621709501687,0.49496002541948975,3.1589780271866883
Joel Embiid,C,PHI,0.6990567468505211,0.720330914593801,1.3052443330470793,-0.09317009404540703,1.4201634080755532,3.326977479341699,3.002749097800548,2.4971108491799714,0.8005069718709377,0.15021525776313147,0.26358903132214606,0.08751480501077585,5.4486877032968115,5.106507725082458,0.6457878519512265,1.2460398760824403,2.954187977662602,2.589015813380903,1.2145080927962801,2.8202533581934035,1.1471339783389431,3.4111481244001425,1.7150185539530949,2.9820611282789646,3.9739616146896855,0.49496002541948975,2.8497915989802993
Luka Doncic,PG,DAL,-0.4588101973745976,0.720330914593801,0.6097044928643227,0.6583832325444327,1.549288159143879,3.2364979397012745,2.9522005284394823,2.8250939211518427,0.2828312552750182,2.104274371338557,2.3836411987061945,0.17695577319403788,4.0682340266499475,4.513095603466275,0.0759341024602603,0.11394274150178559,2.647806493012458,2.032546415779618,3.182375382135517,2.9920846427247834,1.9962542894393185,0.4354311994028429,1.122972134303394,3.028035617981968,3.6328618232873664,6.226954922205195,0.860244147913102
Shai Gilgeous-Alexander,PG,OKC,-0.4588101973745976,0.8025313010438683,0.6097044928643227,0.8086938978624006,1.5802344105747277,3.2304659703919127,2.8679529128377057,2.6407728559114525,0.4222054866662272,0.018849939203438998,0.06463985432422949,0.19931601523985312,5.524329000647324,4.859894895319888,0.8836398517387601,0.20988317663573938,0.8605811658866197,0.7102428967270599,1.963069375407676,2.2360269907867125,2.7746145746146627,1.6407848905409894,1.5176697474031946,2.6669676744608184,-0.11923588213813885,-0.14192829644558866,1.00139447383341
Giannis Antetokounmpo,PF,MIL,0.4674833580054973,0.5970303349187002,1.583460269120182,-0.619257422658295,1.1040262120859023,2.87659043757603,2.8848024359580613,2.361580654150272,0.8502834830820838,-0.16177737381613816,0.08329133966778417,-0.322422965829174,3.9074962697801072,5.114214376012538,-0.404725147110381,1.7065539647254186,3.3043382458341948,2.98570686909667,1.870463855909359,3.1639159272561628,0.6518137968637243,1.1134426506680504,1.5935731345377717,2.6961222289066256,4.769861127961763,3.6794016347448815,2.291911739390511
Anthony Edwards,SG,MIN,-1.1535303639096688,1.2546334265192383,1.0965823809922524,1.1093152284983365,2.0966120569992825,2.850451903902129,2.8848024359580613,3.074469480006489,-0.08551492768746359,2.5640529862974804,2.6136761846100356,0.3781979516063766,2.2150222415623784,2.4168865504844335,0.14530760239829055,-0.02037386768574972,1.8891475786406737,1.4209810382178099,1.8010097162856211,3.3872965971469564,3.234554743127366,1.3771137706045198,1.4265856828417023,2.539136166506126,0.5629637006664985,-0.14192829644558866,0.6518793810783617
Julius Randle,PF,NYK,0.4674833580054973,1.172433040069171,1.374798317065355,0.6583832325444327,1.970157178603422,2.8303453395375904,2.609593558325591,2.7790136548417452,-0.08551492768746359,2.6461563103972883,2.9742715679187595,0.18440918720930927,2.999800701573951,3.256911501863186,0.1502628523938646,1.7833063128325817,3.457528988159267,3.1234468189979783,1.5386274110403897,2.6484220736620236,0.5456737579761773,-0.0165764347739621,2.1400775219067265,2.553713443729029,4.0876615451571245,-0.14192829644558866,1.142544799753718
Donovan Mitchell,SG,CLE,0.004336580315449876,0.8025313010438683,1.374798317065355,-0.018014761386423068,1.6001370977694698,2.8021961494272363,2.7275402201680783,2.697695537823926,0.16336762836826715,3.0895142605362502,2.968054406137574,0.5049059898659978,2.2150222415623784,2.0007274002600974,0.6953403519069626,0.2866355247429024,0.5396100867293263,0.489858976884967,1.4228705116674933,2.029829449349057,2.3146744061019593,0.2094273823144404,1.153333489157225,2.0984538627675797,0.10816397879674026,-0.14192829644558866,2.271747407116181
Trae Young,PG,ATL,-0.4588101973745976,1.0080322671690365,0.957474412955701,0.8086938978624006,1.7315676479640152,2.7861108979356053,2.2669865882116995,2.665168291016798,-0.38417399495434046,1.5952337619197485,1.8800510944302178,0.12478187508713492,4.550447297259468,4.089229802311858,0.7894901018228611,0.15231891555536708,0.0654482652469609,0.09316792116919957,4.818406226605784,4.0918048637256135,1.642454159814162,-0.4685840689507671,0.1817701338346388,2.474099083511633,4.0876615451571245,-0.14192829644558866,0.6720437133526914
Zach LaVine,SG,CHI,0.4674833580054973,1.172433040069171,0.957474412955701,1.1093152284983365,2.0072926803204405,2.7841002414991514,2.6938411739273675,2.6597470832156103,0.1733229306104965,2.4162670029178264,2.402292684049749,0.4229184356980076,2.6310493769902,2.463126456064915,0.6011906019910637,-0.11631430281970352,1.1013094752545898,0.7983964646638971,1.6235158039138469,2.2703932476929887,1.25327401722649,-0.12957834331816334,1.0167073923149863,2.0614500052017477,-0.23293581260557839,-0.14192829644558866,0.1208852978543461
Damian Lillard,PG,POR,1.3937769133855922,0.391529368793532,0.19238058875466887,0.5080725672264647,1.2047532265470964,2.689599388985819,2.0367097722335106,2.1555747577051294,-0.04569371871854682,3.073093595716289,3.1110491271048266,0.3931047796369204,4.0209582158058765,3.464991076975354,0.9282371016989229,-0.077938128766122,0.5906736675043502,0.4237438009323391,2.379794213150103,2.2188438623335744,0.581053770938693,-0.12957834331816334,0.25767352096921586,2.021082160584476,1.3588632139385752,1.1318483472845682,0.7056509338099076
De'Aaron Fox,PG,SAC,-0.22723680852957387,1.0080322671690365,1.374798317065355,0.3577619019084968,1.6035351175344255,2.6091731315276636,2.7443897432884334,2.5052426608817533,0.44211609115068595,1.0205104932210942,1.3018550487800231,0.04279432091914485,2.4419461336139174,2.555606267225879,0.2642336022920577,-0.15469047687328502,0.8314019768723203,0.5835221428178564,2.549570998897017,2.047012577802195,1.748594198701709,0.058758170922172066,1.2140561988648866,2.1915241711907334,0.7903635616013776,-0.14192829644558866,1.1828734643023773
DeMar DeRozan,SF,CHI,1.625350302230616,1.0491324603940702,0.8879204289374254,0.9590045631803685,1.9025608568505483,2.5890665671631248,2.603977050618806,2.429345751665122,0.36247367321285173,-0.1781980386360997,-0.09700635198657773,0.04279432091914485,3.510379458689914,3.1952582944225436,0.7201166018848307,-0.26981899903402956,1.1450782587760389,0.7873772686717925,2.0093721351568345,1.5658849811143316,1.748594198701709,0.5484331079470441,1.4265856828417023,2.1870388551221476,0.22186390926417981,-0.14192829644558866,0.45023605833506464
Jaylen Brown,SG,BOS,0.004336580315449876,0.7614311078188346,1.5139062851019063,-0.243480759363375,1.5667636893636525,2.5247255611966004,2.7275402201680783,2.6461940637126404,0.23305474406387203,1.7430197452994025,2.0479144625222103,0.12478187508713492,1.6855331601087868,1.81576777793817,0.18990485235845342,0.5744568301447638,1.6703036610334283,1.4264906362138623,0.8903887745521705,2.3219426330524024,1.465554095001584,0.1717600794663733,1.2140561988648866,1.9538024195556907,1.0177634225362566,-0.14192829644558866,1.720588991617836
Pascal Siakam,PF,TOR,0.6990567468505211,0.9258318807189692,0.748812460900874,0.8838492305213846,1.866638933621014,2.396043549263552,2.452331342535608,2.4564517906710615,0.12354641939935035,0.5935732079020936,0.8044821062852316,0.04279432091914485,2.6688700256654565,2.817632398848609,0.2345021023186163,1.591425442564674,1.9912747401907216,1.9609216418309376,2.302622946901505,1.840815036364539,1.1117539653764275,0.5484331079470441,2.0641741347721494,2.3518742206426726,2.2684626576780915,1.1318483472845682,0.8266369274558858
Lauri Markkanen,PF,UTA,-0.22723680852957387,0.720330914593801,0.5401505088460471,0.7335385652034166,1.4060858976207358,2.3377345126063895,2.120957387835287,1.998359731470678,0.31269716200170555,2.3505843436379803,2.1909091834894627,0.5496264739576288,2.498677106626802,2.2396335790925868,0.7349823518715515,1.5722373555378835,2.1006966989943443,2.0380560137756705,0.04922197244245746,1.1191236413327443,0.298013667238568,0.6237677136431783,0.6827324889228472,1.8237282535667052,2.7232623795478497,-0.14192829644558866,1.0954946911136152
Nikola Jokic,C,DEN,0.4674833580054973,0.8436314942689019,1.6530142531384577,-0.243480759363375,1.4673716112386912,2.3357238561699356,2.54219546584417,1.6676660555982121,1.6367523602181935,0.0024292743834774377,-0.05348621951828347,0.4825457478201819,2.423035809276289,2.3629399939738716,0.47235410210614986,2.282196575529141,3.632604122245063,3.3989267188005945,4.33222724923962,3.181099055709301,1.8901142505517714,0.9627734392757821,1.2444175537187174,3.1345618746108785,6.134260293571037,18.327833037641685,4.301623522732038
Jalen Green,SG,HOU,-1.1535303639096688,1.1313328468441373,-0.29449729937326075,2.3869558837010643,1.8062027249442976,2.3216492611147586,2.0928748493013614,2.581139570098385,-0.51359292410332,2.1371157009784802,2.464464301861598,0.1471421171329502,2.640504539159014,2.7328592386177255,0.29396510226549916,-0.09712621579291277,0.649032045532949,0.46231098690470535,1.2685279791702984,2.3734920184118162,0.8994738876013337,-0.12957834331816334,0.5916484243613548,1.602826437188859,-0.4603356735404575,-0.14192829644558866,-3.004586204666758
Jordan Poole,SG,GSW,-0.6903835862196214,1.3779340061943393,1.374798317065355,1.0341598958393525,1.6313260648978152,2.3055640096231276,2.0030107259928,2.361580654150272,-0.37421869271211106,2.580473651117442,2.9804887296999443,0.1322352891024069,2.6121390526525716,2.3629399939738716,0.7102061018936834,-0.3081951730876111,0.2988817773613562,0.13724470513761816,1.9476351221579564,3.2670146979749908,1.0409939394513963,-0.0165764347739621,1.8516446507953337,1.628617004583227,-0.346635743073018,-0.14192829644558866,-0.07403658079750772
Mikal Bridges,SF,BKN,0.004336580315449876,1.4190341994193727,1.2356903490288038,1.2596258938163045,2.244304558926117,2.297521383877312,2.2445205573845595,2.331764011243738,0.004082792492599329,1.8415437342191718,1.7681421823688899,0.4750923338049105,2.1866567550559357,1.8851276363088927,0.8340873517830238,0.5936449171715545,0.9700031246902425,0.9030788265888913,1.2067909661714202,1.1191236413327443,2.031634302401834,1.4901156791487211,1.0167073923149863,2.017718173533037,-0.23293581260557839,-0.14192829644558866,0.24187129150032435
Stephen Curry,PG,GSW,2.0884970799206637,0.30932898234346473,0.40104254080949586,0.1322959039315449,1.0040273447171992,2.251276285838873,2.0535592953538657,1.9685430885641444,0.2529653485483301,3.549292875495174,2.992923053262314,0.8104959644921422,1.6288021870959022,1.3302487693431113,0.9331923516944963,-0.17387856390007578,1.094014678001015,0.7763580726796878,1.8164439695353407,2.012646320895919,0.6518137968637243,-0.054243737622029185,0.37911894038453914,1.7665404736922374,0.9040634920688171,0.49496002541948975,1.8012463207151548
Jalen Brunson,PG,NYK,0.004336580315449876,0.8025313010438683,1.0965823809922524,0.2826065692495129,1.5349679329915644,2.2211164392920644,2.2108215111438487,2.1366005304009716,0.23305474406387203,1.2668204655205173,1.022082768626703,0.7285084103241521,2.271753214575263,2.1856870225820244,0.5070408520751652,-0.15469047687328502,0.35724015538995496,0.22539827307445537,2.3489257066506637,1.376870568129814,0.970233913526365,-0.2425802518623646,0.9104426503265783,1.7867243960008732,0.10816397879674026,-0.14192829644558866,1.0215588061077396
Kyrie Irving,PG,DAL,1.1622035245405686,0.4737297552435993,0.5401505088460471,0.2826065692495129,1.3673727438699876,2.2010098749275255,2.2501370650913444,2.1582853616057234,0.26292065079055943,2.1535363657984417,2.103868918552874,0.45273209175909473,1.5342505654077607,1.268595561902469,0.8836398517387601,0.20988317663573938,0.6782112345472484,0.5725029468257518,1.6543843104132858,1.1363067697858824,1.1471339783389431,0.8874388335796479,1.1077914568764786,1.841669517841048,0.10816397879674026,-0.14192829644558866,1.492059892508766
Ja Morant,PG,MEM,-0.6903835862196214,0.5148299484686328,1.0965823809922524,-0.243480759363375,1.0126437519783373,2.146722151143271,2.0928748493013614,2.188102004512257,-0.015827811991858703,0.577152543082132,0.8853052094406353,-0.08391371734047598,2.716145836509527,2.9948853702404556,0.10566560243370174,0.2482593506893209,1.0502458944795658,0.864511640616525,2.9045588236405657,2.4765907891306442,1.1471339783389431,-0.20491294901429752,0.12104742412697718,1.9706223548128872,1.8136629358083334,4.31628995660996,2.029775419824225
LeBron James,SF,LAL,2.783217246455735,0.2682287891184311,0.40104254080949586,0.05714057127256092,1.0194397915082494,2.1346582125245477,2.334384680693121,2.201655024015227,0.32265246424393496,1.053351822861017,1.364026666591872,0.020434078873329608,1.5720712140830173,1.684754712126805,0.20477060234517414,0.3250116987964839,1.7505464308227516,1.4154714402217576,1.9939378819071152,1.9954631924427808,0.581053770938693,0.39776389655477584,-0.061120704996007705,1.9313758392127622,1.5862630748734543,1.1318483472845682,1.4382883397772201
CJ McCollum,SG,NOP,1.1622035245405686,1.0902326536191038,0.957474412955701,0.9590045631803685,1.863240913856058,2.090423770922562,2.2108215111438487,2.540480511589475,-0.3045315770165062,2.5312116566575575,2.396075522268564,0.527266231911813,0.9291201866036566,0.9988627793496584,0.20972585234074817,0.13313082852857636,0.8824655576473442,0.7047332987310075,2.4106627196495416,2.0813788347084707,1.2886540301890057,0.6237677136431783,0.9256233277534938,1.9055852718183943,0.22186390926417981,-0.14192829644558866,0.39646450560351876
Bam Adebayo,C,MIA,-0.22723680852957387,1.0902326536191038,1.0965823809922524,0.8086938978624006,1.8011056952968638,2.0120081699008607,2.2950691267456254,1.9170416144528586,0.7208645539331041,-0.9171279555343698,-0.9052373835406137,-1.7534784567613626,2.262298052406449,2.2627535318828276,0.3930701021769715,2.608394054984584,2.567563723223135,2.6881885773098446,0.9521257875510485,2.1501113485210226,1.925494263514287,1.4901156791487211,1.7605605862338412,2.1623696167449262,3.0643621709501687,-0.14192829644558866,0.7863082629072264
